question_id,origin_id,image_count,source_image_refs,new_image_paths,stem
MATH-0001,M-001-01,1,question-images/source-04-001.png,question-images/wrongbook-math/MATH-0001-01.png,判断 y=lgx² 与 y=2lgx 等函数是否相同
MATH-0002,M-001-02,1,question-images/source-04-002.png,question-images/wrongbook-math/MATH-0002-01.png,判断 f(x)=∛(x⁴-x³) 与 g(x)=x∛(x-1) 是否相同
MATH-0003,M-001-03,1,question-images/source-04-003.png,question-images/wrongbook-math/MATH-0003-01.png,求 y=lg(x+2)+1/√(x²-1) 的定义域
MATH-0004,M-001-04,1,question-images/source-04-004.png,question-images/wrongbook-math/MATH-0004-01.png,求 y=√(16-x²)+arcsin((2x-1)/7) 的定义域
MATH-0005,M-001-05,1,question-images/source-04-005.png,question-images/wrongbook-math/MATH-0005-01.png,求 y=√(25-x²)+ln(sin x) 的定义域
MATH-0006,M-001-06,1,question-images/source-04-006.png,question-images/wrongbook-math/MATH-0006-01.png,"已知 f(x) 定义域[0,1]，求 f(ln x) 定义域"
MATH-0007,M-001-07,1,question-images/source-04-007.png,question-images/wrongbook-math/MATH-0007-01.png,"已知 f(2x+1) 定义域[3,5]，求 f(x-1) 定义域"
MATH-0008,M-001-08,2,question-images/source-05-014.png;question-images/source-05-015.png,question-images/wrongbook-math/MATH-0008-01.png;question-images/wrongbook-math/MATH-0008-02.png,求 y=√(4-x²)+1/ln(cos x) 的定义域
MATH-0009,M-001-09,1,question-images/source-05-016.png,question-images/wrongbook-math/MATH-0009-01.png,"已知 f(x-3)定义域[0,3]，g(x)=f(x)/√(2x+1)，求g定义域"
MATH-0010,M-001-10,1,question-images/source-05-017.png,question-images/wrongbook-math/MATH-0010-01.png,"已知 f(x)定义域(0,1)，求 f(2^x) 定义域"
MATH-0011,M-001-11,1,question-images/source-04-015.png,question-images/wrongbook-math/MATH-0011-01.png,求 y=³√(x+1) 的反函数
MATH-0012,M-001-12,1,question-images/source-05-007.png,question-images/wrongbook-math/MATH-0012-01.png,求 y=2^x/(2^x+1) 的反函数
MATH-0013,M-001-13,1,question-images/source-05-008.png,question-images/wrongbook-math/MATH-0013-01.png,"求 y=(sin3x)/2，x∈[-π/6,π/6] 的反函数"
MATH-0014,M-001-14,1,question-images/source-04-012.png,question-images/wrongbook-math/MATH-0014-01.png,已知 f((1-x)/(1+x))=x，求 f(x)
MATH-0015,M-001-15,1,question-images/source-04-013.png,question-images/wrongbook-math/MATH-0015-01.png,"分段函数 f(x)={2x,x≤0; x²,x≥0}，求 f(f(x))"
MATH-0016,M-001-16,1,question-images/source-05-018.png,question-images/wrongbook-math/MATH-0016-01.png,设 f(x)=1/(1-x)，求 f{f[f(x)]}
MATH-0017,M-001-17,1,question-images/source-05-019.png,question-images/wrongbook-math/MATH-0017-01.png,已知 f(x)=e^x，f[φ(x)]=1+2x，求φ(x)
MATH-0018,M-001-18,1,question-images/source-04-014.png,question-images/wrongbook-math/MATH-0018-01.png,判断 f(x)=ln(√(1+x²)-x) 的奇偶性
MATH-0019,M-001-19,1,question-images/source-04-022.jpeg,question-images/wrongbook-math/MATH-0019-01.jpeg,判断 f(x)=xcosx+sin x 的奇偶性
MATH-0020,M-001-20,1,question-images/source-05-009.png,question-images/wrongbook-math/MATH-0020-01.png,判断 f(x)=1/(e^x+1)-1/2 的奇偶性
MATH-0021,M-001-21,1,question-images/source-04-024.png,question-images/wrongbook-math/MATH-0021-01.png,判断 x→∞ 时 y=e^x、y=arctan x 极限是否存在
MATH-0029,M-001-29,1,question-images/source-05-020.png,question-images/wrongbook-math/MATH-0029-01.png,求 lim(n→∞)(5^(n+2)-2^n)/(7^n+5^n)
MATH-0030,M-001-30,1,question-images/source-05-021.png,question-images/wrongbook-math/MATH-0030-01.png,"已知 f(x) 在 [a,b] 上连续，a<x₁<x₂<x₃<b。证明：存在 ξ∈[a,b]，使 f(ξ)=[f(x₁)+2f(x₂)+f(x₃)]/4。"
MATH-0031,M-001-31,1,question-images/source-05-022.png,question-images/wrongbook-math/MATH-0031-01.png,"证明 x³-2x²-x+1=0 在(0,1)内至少有根"
MATH-0032,M-001-32,1,question-images/source-05-023.png,question-images/wrongbook-math/MATH-0032-01.png,"f连续且f(0)=0,f(1)=1，证存在ξ使f(ξ)=1-ξ"
MATH-0033,M-001-33,1,question-images/source-05-024.png,question-images/wrongbook-math/MATH-0033-01.png,证明：lim(n→∞) n[1/(n²+π)+1/(n²+2π)+⋯+1/(n²+nπ)]=1。
MATH-0034,M-001-34,1,question-images/source-05-025.png,question-images/wrongbook-math/MATH-0034-01.png,证明数列 √2，√(2+√2)，√(2+√(2+√2))，⋯ 的极限存在。令 a₁=√2，aₙ=√(2+aₙ₋₁)（n≥2）。
MATH-0035,M-001-35,1,question-images/source-05-026.png,question-images/wrongbook-math/MATH-0035-01.png,设f(x)=√x，按定义求f′(4)
MATH-0036,M-001-36,1,question-images/source-05-027.png,question-images/wrongbook-math/MATH-0036-01.png,判断函数 f(x)={ln(1+2x)，x≤0；sin 2x，x>0} 在 x=0 处是否可导。
MATH-0037,M-001-37,1,question-images/source-05-028.png,question-images/wrongbook-math/MATH-0037-01.png,确定 a、b 的值，使函数 f(x)={cos x，x≤0；ax+b，x>0} 在 x=0 处可导。
MATH-0038,M-001-38,1,question-images/source-05-029.png,question-images/wrongbook-math/MATH-0038-01.png,"求y=ln(1+x)在(0,0)处切线与法线"
MATH-0039,M-001-39,1,question-images/source-05-030.png,question-images/wrongbook-math/MATH-0039-01.png,"求y=e^x过(0,0)的切线方程"
MATH-0040,M-001-40,1,question-images/source-05-031.png,question-images/wrongbook-math/MATH-0040-01.png,y=a√x 与 y=ln x 相切，求a
MATH-0041,M-001-41,1,question-images/source-05-032.png,question-images/wrongbook-math/MATH-0041-01.png,已知 f(x)=(2x+sin x)/(1+cos x)，求f′(0)
MATH-0042,M-002-01,1,question-images/source-01-001.png,question-images/wrongbook-math/MATH-0042-01.png,求f(x)=x²在x=1处的导数f′(1)
MATH-0043,M-002-02,1,question-images/source-01-002.png,question-images/wrongbook-math/MATH-0043-01.png,已知f在x0可导，求 Δx/[f(x0+3Δx)-f(x0)] 极限
MATH-0044,M-002-03,1,question-images/source-01-003.png,question-images/wrongbook-math/MATH-0044-01.png,f(x)=x(x+1)…(x+2024)，求f′(0)
MATH-0045,M-002-04,1,question-images/source-01-004.png,question-images/wrongbook-math/MATH-0045-01.png,分段函数(2/3)x³与x²在x=1处左右导数判断
MATH-0046,M-002-05,1,question-images/source-01-005.png,question-images/wrongbook-math/MATH-0046-01.png,"f(x)=min{x,x²}在全实数不可导点个数"
MATH-0047,M-002-06,1,question-images/source-01-006.png,question-images/wrongbook-math/MATH-0047-01.png,sin2x+x²cos(1/x)分段函数在0处性质判断
MATH-0048,M-002-07,1,question-images/source-01-007.jpeg,question-images/wrongbook-math/MATH-0048-01.jpeg,lim(x→1)[√(4x)-2]/[2-√(5-x)]
MATH-0049,M-002-08,1,question-images/source-01-008.jpeg,question-images/wrongbook-math/MATH-0049-01.jpeg,求 lim(x→0) [1/(1+x)]^(1/(2x)-1)
MATH-0050,M-002-09,1,question-images/source-01-009.jpeg,question-images/wrongbook-math/MATH-0050-01.jpeg,lim(x→0)1/x²·sin²(x/√5)
MATH-0051,M-002-10,1,question-images/source-01-009.jpeg,question-images/wrongbook-math/MATH-0051-01.jpeg,lim(x→0)[xsin(1/x)+(1/x)sin x]
MATH-0052,M-002-11,1,question-images/source-01-010.jpeg,question-images/wrongbook-math/MATH-0052-01.jpeg,n→∞时与sin²(1/n)等价的无穷小
MATH-0053,M-002-12,1,question-images/source-01-011.jpeg,question-images/wrongbook-math/MATH-0053-01.jpeg,x→0⁻时 y=e^(1/x) 的极限
MATH-0054,M-002-13,1,question-images/source-01-012.jpeg,question-images/wrongbook-math/MATH-0054-01.jpeg,分段函数求定义域、函数值、连续区间、lim(x→1)f(x)
MATH-0055,M-002-14,1,question-images/source-01-013.jpeg,question-images/wrongbook-math/MATH-0055-01.jpeg,f(x)=1/(1-e^x)在x=0附近间断情况
MATH-0056,M-002-15,1,question-images/source-01-014.jpeg,question-images/wrongbook-math/MATH-0056-01.jpeg,f(x)=1/(1+2^(1/x))在x=0附近间断情况
MATH-0057,M-002-16,1,question-images/source-01-015.jpeg,question-images/wrongbook-math/MATH-0057-01.jpeg,x arctan(1/x²)分段函数在0处连续与可导
MATH-0058,M-003-01,1,question-images/source-03-001.png,question-images/wrongbook-math/MATH-0058-01.png,"求y=x^(3/2)通过点(0,-4)的切线方程"
MATH-0059,M-003-02,1,question-images/source-03-002.png,question-images/wrongbook-math/MATH-0059-01.png,"y=x²+ax+b与y=x³+x在(1,2)处相切，求a,b"
MATH-0060,M-003-03,2,question-images/source-02-004.png;question-images/source-02-021.png,question-images/wrongbook-math/MATH-0060-01.png;question-images/wrongbook-math/MATH-0060-02.png,"参数方程x=3cost,y=2sint，t=π/4求切线"
MATH-0061,M-003-04,1,question-images/source-02-005.png,question-images/wrongbook-math/MATH-0061-01.png,"参数方程x=2t²+t,y=ln(1-t)，x=3处切线"
MATH-0062,M-003-05,1,question-images/source-03-010.png,question-images/wrongbook-math/MATH-0062-01.png,求y=ln|x|的导数
MATH-0063,M-003-06,1,question-images/source-03-011.png,question-images/wrongbook-math/MATH-0063-01.png,"分段f={cos x,x≤0; e^x,x>0}求f′(x)"
MATH-0064,M-003-07,1,question-images/source-02-001.png,question-images/wrongbook-math/MATH-0064-01.png,"f(x)=3x²-2,x>0，反函数φ，求φ’(1)"
MATH-0065,M-003-08,1,question-images/source-02-002.png,question-images/wrongbook-math/MATH-0065-01.png,求y=(x/(1+x))^x的导数
MATH-0066,M-003-09,1,question-images/source-02-003.png,question-images/wrongbook-math/MATH-0066-01.png,求y=√[(3x-2)/((5-2x)(x-1))]的导数
MATH-0067,M-003-10,1,question-images/source-02-015.png,question-images/wrongbook-math/MATH-0067-01.png,求y=³√[x(x²+1)/(e^x(x²+5))]的导数
MATH-0068,M-003-11,1,question-images/source-02-016.png,question-images/wrongbook-math/MATH-0068-01.png,求y=[(1-x)/(1+x)]e^√x在x=4处导数
MATH-0069,M-003-12,1,question-images/source-02-006.png,question-images/wrongbook-math/MATH-0069-01.png,设y=ln(x-1)，求y^(n)
MATH-0070,M-003-13,1,question-images/source-02-007.png,question-images/wrongbook-math/MATH-0070-01.png,y=cos²x·ln x，求y’’
MATH-0071,M-003-14,1,question-images/source-02-017.png,question-images/wrongbook-math/MATH-0071-01.png,lim(x→0)[e^(x²)-1-x²]/[x³sinx]
MATH-0072,M-003-15,1,question-images/source-02-018.png,question-images/wrongbook-math/MATH-0072-01.png,lim(x→0+)x^(tan x)
MATH-0073,M-003-16,1,question-images/source-02-019.png,question-images/wrongbook-math/MATH-0073-01.png,"参数方程x=ln√(1+t²),y=arctant，求dy/dx"
MATH-0074,M-003-17,1,question-images/source-03-003.jpeg,question-images/wrongbook-math/MATH-0074-01.jpeg,"求曲线y=∛x在(0,0)处切线方程"
MATH-0075,M-003-18,1,question-images/source-03-004.jpeg,question-images/wrongbook-math/MATH-0075-01.jpeg,y=x³-x在M点切线平行于x+y=1，求M
MATH-0076,M-003-20,1,question-images/source-03-005.jpeg,question-images/wrongbook-math/MATH-0076-01.jpeg,求y=(1-√x)/(1+√x)的导数
MATH-0077,M-003-21,1,question-images/source-03-006.jpeg,question-images/wrongbook-math/MATH-0077-01.jpeg,求y=3/(5-x)+x²/5的导数
MATH-0078,M-003-22,1,question-images/source-03-006.jpeg,question-images/wrongbook-math/MATH-0078-01.jpeg,求y=1/x-2√x+x^(3/2)的导数
MATH-0079,M-003-23,1,question-images/source-03-006.jpeg,question-images/wrongbook-math/MATH-0079-01.jpeg,求y=2^x·x²的导数
MATH-0080,M-003-24,1,question-images/source-03-006.jpeg,question-images/wrongbook-math/MATH-0080-01.jpeg,求y=(x+1)/(x-2)的导数
MATH-0081,M-003-25,1,question-images/source-03-007.jpeg,question-images/wrongbook-math/MATH-0081-01.jpeg,求y=1/(1+√x)+1/(1-√x)的导数
MATH-0082,M-003-26,1,question-images/source-03-007.jpeg,question-images/wrongbook-math/MATH-0082-01.jpeg,求y=(1+cos x)/(1-cos x)的导数
MATH-0083,M-003-27,1,question-images/source-03-007.jpeg,question-images/wrongbook-math/MATH-0083-01.jpeg,求y=sin x/(1+cos x)的导数
MATH-0084,M-003-28,1,question-images/source-03-007.jpeg,question-images/wrongbook-math/MATH-0084-01.jpeg,求y=xtanx+secx-1的导数
MATH-0085,M-003-29,1,question-images/source-02-008.jpeg,question-images/wrongbook-math/MATH-0085-01.jpeg,求y=arccos(1/x)的导数
MATH-0086,M-003-30,1,question-images/source-02-009.jpeg,question-images/wrongbook-math/MATH-0086-01.jpeg,求y=arctan((x+1)/(x-1))的导数
MATH-0087,M-003-31,1,question-images/source-02-010.jpeg,question-images/wrongbook-math/MATH-0087-01.jpeg,求y=cos[f(1/x)]的导数
MATH-0088,M-003-32,1,question-images/source-02-009.jpeg,question-images/wrongbook-math/MATH-0088-01.jpeg,求y=f(e^(x²))sinx的导数
MATH-0089,M-003-33,1,question-images/source-02-011.jpeg,question-images/wrongbook-math/MATH-0089-01.jpeg,求y=√(4-x²)+x·arcsin(x/2)的导数
MATH-0090,M-003-34,1,question-images/source-02-012.jpeg,question-images/wrongbook-math/MATH-0090-01.jpeg,求y=e^x arctan(e^x)-ln√(1+e^(2x))在0处导数
MATH-0091,M-003-35,1,question-images/source-02-013.jpeg,question-images/wrongbook-math/MATH-0091-01.jpeg,求y=1/4ln((1+x)/(1-x))-1/2arctanx的导数
MATH-0092,M-003-36,1,question-images/source-02-013.jpeg,question-images/wrongbook-math/MATH-0092-01.jpeg,求y=x²sin(1/x)+2x/(1-x²)的导数
MATH-0093,M-003-37,1,question-images/source-02-014.jpeg,question-images/wrongbook-math/MATH-0093-01.jpeg,"分段f={x²sin(1/x),x≠0;0,x=0}求导"
MATH-0094,M-003-38,1,question-images/source-02-014.jpeg,question-images/wrongbook-math/MATH-0094-01.jpeg,"分段f={sin x,x<0;ln(1+x),x≥0}求导"
MATH-0095,M-003-39,1,question-images/source-03-008.png,question-images/wrongbook-math/MATH-0095-01.png,y=a^x+√(1-a^(2x))·arccos(a^x)求导
MATH-0096,M-003-40,1,question-images/source-03-009.png,question-images/wrongbook-math/MATH-0096-01.png,y=(x/2)√(a²-x²)+(a²/2)arcsin(x/a)，求y’
MATH-0097,U-001,1,question-images/source-02-020.png,question-images/wrongbook-math/MATH-0097-01.png,设函数 y=y(x) 由参数方程 x=t³+t²，y=t-ln(t+1) 所确定，求 dy/dx|_{t=0}
MATH-0098,U-002,1,question-images/source-02-022.png,question-images/wrongbook-math/MATH-0098-01.png,已知方程 x=3t²+2t+3，e^(sin t)-y+1=0，由 y=y(x) 所确定，求 dy/dx|_{t=0}
MATH-0099,U-003,1,question-images/source-04-008.jpeg,question-images/wrongbook-math/MATH-0099-01.jpeg,y=√(9-x²)/lg(x+2)，求定义域
MATH-0100,U-004,1,question-images/source-04-008.jpeg,question-images/wrongbook-math/MATH-0100-01.jpeg,分段函数 f(x)={x，-1≤x≤0；sin x，0<x≤3；eˣ，x>3}，求定义域
MATH-0101,U-006,1,question-images/source-04-009.jpeg,question-images/wrongbook-math/MATH-0101-01.jpeg,y=e^(1/√x)+1/(1-ln x)，求定义域
MATH-0102,U-007,1,question-images/source-04-009.jpeg,question-images/wrongbook-math/MATH-0102-01.jpeg,y=√(3x+2)+1/(1-x²)，求定义域
MATH-0103,U-008,1,question-images/source-04-010.jpeg,question-images/wrongbook-math/MATH-0103-01.jpeg,y=arcsin(1-x)+1/2·lg((1+x)/(1-x))，求定义域
MATH-0104,U-009,1,question-images/source-04-011.jpeg,question-images/wrongbook-math/MATH-0104-01.jpeg,"已知 f[lg(1+x)] 的定义域为 [0,9]，求 f(2x+1) 的定义域"
MATH-0105,U-010,1,question-images/source-04-016.png,question-images/wrongbook-math/MATH-0105-01.png,求 y=2ˣ/(2ˣ+1) 的反函数
MATH-0107,U-012,1,question-images/source-04-019.jpeg,question-images/wrongbook-math/MATH-0107-01.jpeg,f(x)=xcosx+sin x，判断函数奇偶性
MATH-0108,U-013,1,question-images/source-04-020.jpeg,question-images/wrongbook-math/MATH-0108-01.jpeg,f(x)=1/(2ˣ+1)-1/2，判断函数奇偶性
MATH-0109,U-014,1,question-images/source-04-021.jpeg,question-images/wrongbook-math/MATH-0109-01.jpeg,y=(4x+3)³，求反函数
MATH-0110,U-015,1,question-images/source-04-021.jpeg,question-images/wrongbook-math/MATH-0110-01.jpeg,y=ln√(x+1)，求反函数
MATH-0111,U-016,1,question-images/source-04-021.jpeg,question-images/wrongbook-math/MATH-0111-01.jpeg,"y=cos(2x+1)，x∈[-1/2,(π-1)/2]，求反函数"
MATH-0112,U-017,1,question-images/source-04-021.jpeg,question-images/wrongbook-math/MATH-0112-01.jpeg,y=1+ln(x+2)，求反函数
MATH-0113,U-018,1,question-images/source-04-023.jpeg,question-images/wrongbook-math/MATH-0113-01.jpeg,设 f(x)=e^(1-x²)，g(x)=sin x，求 f[f(x)]、f[g(x)]、g[f(x)]、g[g(x)]
MATH-0114,U-019,1,question-images/source-04-023.jpeg,question-images/wrongbook-math/MATH-0114-01.jpeg,设 f(x)=(x+1)/(x-1)，求 f(x+1)
MATH-0115,U-020,1,question-images/source-04-023.jpeg,question-images/wrongbook-math/MATH-0115-01.jpeg,设 f(x)=x/√(1-x²)，x>0，求 f(1/x)
MATH-0116,U-021,1,question-images/source-04-025.jpeg,question-images/wrongbook-math/MATH-0116-01.jpeg,函数 f(x)=2x³-3sinx 的奇偶性
MATH-0117,U-022,1,question-images/source-04-025.jpeg,question-images/wrongbook-math/MATH-0117-01.jpeg,函数 y=|sin x| 的周期
MATH-0118,U-023,1,question-images/source-04-025.jpeg,question-images/wrongbook-math/MATH-0118-01.jpeg,函数 f(x)=√(x-2)+1/(x-5) 的定义域
MATH-0119,U-024,1,question-images/source-04-026.jpeg,question-images/wrongbook-math/MATH-0119-01.jpeg,函数 y=arcsin(x-3)+ln(x-2) 的定义域
MATH-0120,U-025,1,question-images/source-04-026.jpeg,question-images/wrongbook-math/MATH-0120-01.jpeg,分段函数 {2x+1，-1≤x≤0；-1/2·x，0<x<2；e，x≥2} 的定义域
MATH-0121,U-027,1,question-images/source-04-027.jpeg,question-images/wrongbook-math/MATH-0121-01.jpeg,f(x)=3x²/√(1-x)+lg(3x+1) 的定义域
MATH-0122,U-028,1,question-images/source-04-027.jpeg,question-images/wrongbook-math/MATH-0122-01.jpeg,"已知 f(x) 定义域为 (-1,2]，求 f(x-1) 的定义域"
MATH-0123,U-029,1,question-images/source-04-027.jpeg,question-images/wrongbook-math/MATH-0123-01.jpeg,分段函数 f(x)={3ˣ，x>0；2x+1，-2≤x≤0；x²，x<-2}，求 f(f(-3))
